row,col,p,fdr
1723,4071,0,0
23,151,0,0
156,465,0,0
209,1770,0,0
6314,14103,0,0
19,906,0,0
303,3073,0,0
157,447,0,0
98,8126,0,0
1844,10747,0,0
155,447,0,0
151,465,0,0
229,2225,0,0
22,8349,0,0
145,20909,0,0
5332,10071,0,0
59,14059,0,0
4370,12893,0,0
12,25779,0,0
641,14103,0,0
5332,12698,0,0
28,365,0,0
414,5120,0,0
7586,13500,0,0
7586,16667,0,0
1792,2556,0,0
101,916,0,0
6008,27010,0,0
6008,21252,0,0
7424,12101,0,0
303,1258,0,0
234,465,0,0
87,874,0,0
4752,4923,0,0
23,916,0,0
5811,19038,0,0
15323,19272,0,0
16074,22079,0,0
5823,22079,0,0
395,918,0,0
394,6904,0,0
1530,16487,0,0
18500,22079,0,0
101,151,0,0
15667,43736,0,0
893,5742,0,0
19,88,0,0
6008,39338,0,0
85,88,0,0
5742,8528,0,0
5742,29308,0,0
97,159,0,0
86,365,0,0
123,26264,0,0
106,638,0,0
15620,39741,0,0
101,564,0,0
97,200,0,0
145,12863,0,0
14383,22233,0,0
2226,4668,0,0
10475,11767,0,0
23,564,0,0
4370,16319,0,0
4814,16666,0,0
451,1260,0,0
15713,43880,0,0
156,365,0,0
287,633,0,0
4814,16319,0,0
6008,19038,0,0
15323,46530,0,0
101,198,0,0
892,7747,0,0
10858,12367,0,0
10319,16487,0,0
23,195,0,0
5816,7650,0,0
87,598,0,0
157,365,0,0
2225,4071,0,0
2852,5275,0,0
14333,20851,0,0
2604,18266,0,0
3078,6692,0,0
25,30,0,0
17764,28174,0,0
4370,7401,0,0
2852,17528,0,0
86,465,0,0
26,158,0,0
465,3963,0,0
1770,5039,0,0
152,447,0,0
2752,4367,0,0
394,1260,0,0
575,23304,0,0
8349,20909,0,0
9535,23304,0,0
97,101,0,0
303,1756,0,0
3198,30165,0,0
2225,25779,0,0
240,447,0,0
1771,9535,0,0
575,1771,0,0
1047,9037,0,0
466,916,0,0
98,18266,0,0
2283,8349,0,0
27181,42024,0,0
142,3265,0,0
27,465,0,0
1396,9535,0,0
575,1396,0,0
85,195,0,0
2226,2556,0,0
4370,4814,0,0
287,465,0,0
156,447,0,0
1756,14749,0,0
240,365,0,0
8349,11536,0,0
20678,30044,0,0
4841,16319,0,0
4370,20664,0,0
2493,20004,0,0
27,633,0,0
88,466,0,0
78,362,0,0
288,874,0,0
22079,25779,0,0
958,8126,0,0
958,5221,0,0
733,8256,0,0
6008,10807,0,0
6008,27302,0,0
7980,20874,0,0
4977,17512,0,0
17512,24061,0,0
28,447,0,0
4977,24061,0,0
5039,5332,0,0
87,1792,0,0
434,7997,0,0
317,6314,0,0
100,974,0,0
6697,18266,0,0
7980,8832,0,0
13,3768,0,0
8832,20874,0,0
920,16319,0,0
1801,28535,0,0
948,1233,0,0
3081,4784,0,0
8295,19188,0,0
10124,18310,0,0
756,4843,0,0
584,2283,0,0
958,18266,0,0
5811,10807,0,0
5811,27302,0,0
3073,4365,0,0
27010,33175,0,0
21252,33175,0,0
561,4365,0,0
395,1260,0,0
1264,4814,0,0
23,88,0,0
6556,14749,0,0
6438,10463,0,0
11166,19234,0,0
101,195,0,0
4974,8177,0,0
739,937,0,0
78,4814,0,0
589,6904,0,0
1770,9853,0,0
958,22361,0,0
4370,4841,0,0
5661,7424,0,0
239,633,0,0
1716,2419,0,0
4814,12893,0,0
227,1716,0,0
958,1264,0,0
780,5039,0,0
239,465,0,0
756,1179,0,0
5039,5873,0,0
23,153,0,0
3963,5166,0,0
104,153,0,0
97,471,0,0
104,365,0,0
234,633,0,0
101,153,0,0
22,105,0,0
1723,25779,0,0
199,447,0,0
1092,11767,0,0
1092,10475,0,0
145,2283,0,0
